sample,Season,Place,Date,gc/µL in sample,rerun,conc,Date_Location,index_plot,week,year,amplicon,read_count,segment
barcode26,2022/2023,CDA Lugano,2022_12_25 ,38.625,yes,38.625,2022_12_25 -CDA Lugano,"",51,,amp6,0,H1
barcode27,2022/2023,CDA Lugano,2022_12_31,14.7,yes,14.7,2022_12_31-CDA Lugano,"",52,,amp1,0,H1
barcode27,2022/2023,CDA Lugano,2022_12_31,14.7,yes,14.7,2022_12_31-CDA Lugano,"",52,,amp2,0,H1
barcode27,2022/2023,CDA Lugano,2022_12_31,14.7,yes,14.7,2022_12_31-CDA Lugano,"",52,,amp3,0,H1
barcode27,2022/2023,CDA Lugano,2022_12_31,14.7,yes,14.7,2022_12_31-CDA Lugano,"",52,,amp4,0,H1
barcode27,2022/2023,CDA Lugano,2022_12_31,14.7,yes,14.7,2022_12_31-CDA Lugano,"",52,,amp5,0,H1
barcode27,2022/2023,CDA Lugano,2022_12_31,14.7,yes,14.7,2022_12_31-CDA Lugano,"",52,,amp6,0,H1
barcode28,2022/2023,ARA Werdhoelzli,2022_12_06,46.5,yes,46.5,2022_12_06-ARA Werdhoelzli,"",49,,amp1,77,H1
barcode28,2022/2023,ARA Werdhoelzli,2022_12_06,46.5,yes,46.5,2022_12_06-ARA Werdhoelzli,"",49,,amp2,1159,H1
barcode28,2022/2023,ARA Werdhoelzli,2022_12_06,46.5,yes,46.5,2022_12_06-ARA Werdhoelzli,"",49,,amp3,1150,H1
barcode28,2022/2023,ARA Werdhoelzli,2022_12_06,46.5,yes,46.5,2022_12_06-ARA Werdhoelzli,"",49,,amp4,160,H1
barcode28,2022/2023,ARA Werdhoelzli,2022_12_06,46.5,yes,46.5,2022_12_06-ARA Werdhoelzli,"",49,,amp5,163,H1
barcode28,2022/2023,ARA Werdhoelzli,2022_12_06,46.5,yes,46.5,2022_12_06-ARA Werdhoelzli,"",49,,amp6,0,H1
barcode29,2022/2023,STEP Aire,2022_12_06,14.75,yes,14.75,2022_12_06-STEP Aire,"",49,,amp1,746,H1
barcode29,2022/2023,STEP Aire,2022_12_06,14.75,yes,14.75,2022_12_06-STEP Aire,"",49,,amp2,8780,H1
barcode29,2022/2023,STEP Aire,2022_12_06,14.75,yes,14.75,2022_12_06-STEP Aire,"",49,,amp3,8789,H1
barcode29,2022/2023,STEP Aire,2022_12_06,14.75,yes,14.75,2022_12_06-STEP Aire,"",49,,amp4,1074,H1
barcode29,2022/2023,STEP Aire,2022_12_06,14.75,yes,14.75,2022_12_06-STEP Aire,"",49,,amp5,1060,H1
barcode29,2022/2023,STEP Aire,2022_12_06,14.75,yes,14.75,2022_12_06-STEP Aire,"",49,,amp6,1,H1
barcode30,2022/2023,STEP Aire,2022_12_20,96.875,yes,96.875,2022_12_20-STEP Aire,"",51,,amp1,80,H1
barcode30,2022/2023,STEP Aire,2022_12_20,96.875,yes,96.875,2022_12_20-STEP Aire,"",51,,amp2,247,H1
barcode30,2022/2023,STEP Aire,2022_12_20,96.875,yes,96.875,2022_12_20-STEP Aire,"",51,,amp3,258,H1
barcode30,2022/2023,STEP Aire,2022_12_20,96.875,yes,96.875,2022_12_20-STEP Aire,"",51,,amp4,16,H1
